,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-129.72519959132794,30.483248250322138,-182.1107320851818,-76.22044549025637,,
1,0,-4.800374259448523,16.43592759079055,-29.62619590225885,27.19495142750694,4140.176000976562,140.2464599609375
2,1,109.18931581950423,29.044253734775058,65.78712290353124,154.40401228190902,180.04057846069335,100.52062892913818
3,2,138.91485901161195,42.8794394013357,74.37355800170208,206.59293526847483,130.35863151550294,76.43409214019775
4,3,200.78953447967322,38.44923421109678,107.9256206679556,260.64637642842365,91.82711836099625,64.54515235424041
5,4,274.9665290522293,25.45126706001366,240.6027346596944,305.52787647715013,72.45447197738959,54.780205240055004
6,5,253.49831563785133,38.761174894073115,203.48835061356186,337.6600095232671,61.99801512896004,49.521158929598535
7,6,322.8210260923968,35.55160358862897,267.3442674019319,393.73375337394157,53.58525970016701,43.31528817052426
8,7,288.9577469646016,27.657677048922213,258.2665191200898,343.4290525771888,47.57745226123665,40.49865719034702
9,8,297.83817777101103,28.587004816435346,229.2285845010232,329.19607937727824,41.43998648903587,36.11869749155912
10,9,282.4442468757804,42.75417416761551,182.58359151458646,334.72175161089285,38.30524360890291,33.638864711839325
11,10,340.30941701867374,44.687854915692036,252.99921797017018,398.299877731386,34.26993203163147,31.88743148026643
